description	enabled		min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Rare Armor + 1 Flawless gem + Magical Staff -> Socketed Rare Armor (Ehereal Comp) Max 2 Sockets	1			0					3	"armo,rar"	gem3	staf,mag					useitem,sock=2																																																																																							0
1 Rare Weapon + 1 Flawless gem + Magical Staff -> Socketed Rare Weapon (Ehereal Comp) Max 2 Sockets	1			0					3	"weap,rar"	gem3	staf,mag					useitem,sock=2																																																																																							0
1 Unique Weapon + 2 Perfect gems + 2 Jewels -> Socketed Unique Weapon oComp) Max 2 Sockets	1			0					3	"armo,uni"	gem4,qty=2	jew,qty=2					useitem,sock=2																																																																																							0
1 Unique Armor + 2 Perfect gems + 2 Jewels -> Socket Unique Armor (Ehereal Comp) Max 2 Sockets	1			0					3	"weap,uni"	gem4,qty=2	jew,qty=2					useitem,sock=2																																																																																							0
Easter Egg Hide your Eyes, DO NOT READ THIS ROW	1			0					99	mpot,qty=99							helm,hiq,eth				gold%			411	411	mag%			155	155	light			11	11	gethit-skill		92	100	99	kill-skill		59	100	99																																																											0
The Barbarian Horde -Easter Egg	1			0					99	rvl,qty=99							helm,hiq				skill		9	5	5	skill		13	5	5	skill		12	5	5	skill		18	5	5																																																																0
Any Ethereal Item + Any Magical Item -> Non-Ethereal Version of Item	1			100					2	any,eth	any,mag						useitem,mod,nor																																																																																							0
Any Armor + ETH Rune -> Ethereal Version of Armor	1			100					2	armo	r05						useitem				ethereal		1	1																																																																																0
Any Weapon + ETH Rune -> Ethereal Version of Weapon	1			100					2	weap	r05						useitem				ethereal		1	1																																																																																0
Normal Armor + ORT -> Exceptional Version	1			100					2	armo,nor	r09						useitem,exc																																																																																							0
Normal Exceptional + THUL -> Elite Version	1			100					2	armo,exc	r10						useitem,eli																																																																																							0
Any Normal Magical Weapon + Jewel + Rejuvenate Potion -> Exceptional Version of Weapon	1			100					3	weap,bas,mag	jew	rvs					useitem,mod,exc																																																																																							0
Any Exceptional Magical Weapon + Jewel + Full Rejuvenate Potion -> Elite Version of Weapon	1			100					3	weap,exc,mag	jew	rvl					useitem,mod,eli																																																																																							0
Any Normal Magical Armor + Jewel + Rejuvenate Potion -> Exceptional Version of Armor	1			100					3	armo,bas,mag	jew	rvs					useitem,mod,exc																																																																																							0
Any Exceptional Magical Armor + Jewel + Full Rejuvenate Potion -> Elite Version of Armor	1			100					3	armo,exc,mag	jew	rvl					useitem,mod,eli																																																																																							0
Any Normal Set Armor + Jewel + Rejuvenate Potion -> Exceptional Version of Armor	1			100					3	armo,bas,set	jew	rvs					usetype,mod,exc																																																																																							0
Any Excpetional Set Armor + Jewel + Full Rejuvenate Potion -> Elite Version of Armor	1			100					3	armo,exc,set	jew	rvl					usetype,mod,eli																																																																																							0
Any Normal Set Weapon + Jewel + Rejuvenate Potion -> Exceptional Version of Weapon	1			100					3	weap,bas,set	jew	rvs					usetype,mod,exc																																																																																							0
Any Exceptional Set Weapon  + Jewel + Full Rejuvenate Potion -> Elite Version of Weapon	1			100					3	weap,exc,set	jew	rvl					usetype,mod,eli																																																																																							0
Any Normal Rare Armor + 3 Jewels -> Exceptional Version of Armor	1			100					4	armo,bas,rar	jew,qty=3						useitem,mod,exc																																																																																							0
Any Normal Rare Weapon + 3 Jewels -> Exceptional Version of Weapon	1			100					4	weap,bas,rar	jew,qty=3						useitem,mod,exc																																																																																							0
Any Rare Armor + 5 Jewels + Any Rare Non-Armor Item -> Elite version of Armor (1 Shot Elite)	1			100					7	armo,rar	jew,qty=6	any,rar					useitem,mod,eli																																																																																							0
Any Rare Weapon + 6 Jewels + Any Rare Non-Weapon Item -> Elite version of Weapon	1			100					8	weap,rar	jew,qty=6	any,rar					useitem,mod,eli	30																																																																																						0
Any Normal Unique Armor + 3 Magic Rings -> Exceptional version of Unique Armor	1			100					4	armo,bas	rin,mag,qty=3						usetype,mod,exc																																																																																							0
Any Normal Unique Weapon + 3 Magic Rings -> Exceptional version of Unique Weapon	1			100					4	weap,bas	rin,mag,qty=3						usetype,mod,exc																																																																																							0
Any Exceptional Unique Armor + 3 Jewels + 1 Rare Ring -> Elite Version of Unique Armor	1			100					5	armo,exc	ring,rar	jew,qty=3					usetype,mod,eli																																																																																							0
Any Exceptional Unique Weapon + 3 Jewels + Rare Amulet -> Elite Version of Unique Weapon	1			100					5	weap,exc	amu,rar	jew,qty=3					usetype,mod,eli																																																																																							0
ORT + THUL + Flawless gem + BASIC UNIQUE Weapon -> Exceptional Unique Weapon	1			100					4	weap,bas,uni	r09	r10	gem3				usetype,mod,exc																																																																																							0
TAL + RAL +  Flawless gem + BASIC UNIQUE armor -> Exceptional Unique Armor	1			100					4	armo,bas,uni	r07	r08	gem3				usetype,mod,exc																																																																																							0
AMN + SOL +  Perfect gem + EXCEPTIONAL UNIQUE Weapon -> Elite Unique Weapon	1			100					4	weap,exc,uni	r11	r12	gem4				usetype,mod,eli																																																																																							0
THUL + AMN + Perfect gem + EXCEPTIONAL UNIQUE Armor -> Elite Unique Armor	1			100					4	armo,exc,uni	r10	r11	gem4				usetype,mod,eli																																																																																							0
1 Perfect gem + 1 Jewel + 1 magic item -> NEW MAGIC ITEM	1			100					3	any,mag	jew	gem4					usetype,mag			100																																																																																				0
1 Perfect Skull + 1 Rare Jewel + 1 rare item -> HIGHER RARE ITEM	1			100					3	any,rar	jew,rar	skz					usetype,rar	70																																																																																						0
2 Standard Gems + 1 Socketed Weapon (Any Type) = 1 Socketed Magic Weapon (of same type)	1			100					3	weap,sock	gem2,qty=2						usetype,mag	35																																																																																						0
2 Flawless Gems + 1 Magic Weapon = Socketed Magic Weapon (works with socketed but destroys gems)	1			100					3	weap,mag	gem3,qty=2						useitem,sock=3																																																																																							0
3 Mana Potions + Normal  Weapon -> Socketed Superior Weapon	1			100					4	weap,nor	mpot,qty=3						useitem,hiq,sock=6																																																																																							0
3 Mana Potions + Normal Armor -> Socketed Superior Armor	1			100					4	armo,nor	mpot,qty=3						useitem,hiq,sock=6																																																																																							0
Town Portal Scroll + Any Socketed Item -> Unsocket (destroy gems)	1			100					2	any,sock	tsc						useitem,uns																																																																																							0
Any Socked Item + Chipped Gem + Flawed Gem -> Unsocket (keep gems)	1			100					3	any,sock	gem0	gem1					useitem,rem																																																																																							0
2 Rejuvenate Potions + Any Superior Item -> Socketed Superior Item (2 Socket Max)	1			100					3	any,hiq	rvs,qty=2						useitem,sock=2																																																																																							0
3 Rejuvenate Potions + Any Superior Item -> Socketed Superior Item (3 Socket Max)	1			100					4	any,hiq	rvs,qty=3						useitem,sock=3																																																																																							0
4 Rejuvenate Potions + Jewel + Any Superior Item -> Socketed Superior Item (4 Socket Max)	1			100					6	any,hiq	rvs,qty=4	jew					useitem,sock=4																																																																																							0
5 Rejuvenate Potions + 2 Jewels + Any Superior Item -> Socketed Superior Item (5 Socket Max)	1			100					8	any,hiq	rvs,qty=5	jew,qty=2					useitem,sock=5																																																																																							0
6 Rejuvenate Potions + 3 Jewels + Any Superior Item -> Socketed Superior Item (6 Socket Max)	1			100					10	any,hiq	rvs,qty=6	jew,qty=3					useitem,sock=6																																																																																							0
1 Socketed Item + Ruby (any type) = Item of the same type without sockets	1			100					2	any,sock	gemr						usetype			42																																																																																				0
Any Ethereal Item + key -> Superior Normal Version	1			100					2	any,eth	tbk						usetype,hiq			42																																																																																				0
Any Armor + ETH + Rare Amulet = Ehereal Industructable Version	1			100					3	armo	r05	amu,rar					useitem				ethereal		1	1		indestruct		1	1																																																																											0
Any Armor + Mana Potion + Book of Identify + 2 Jewels -> Superior Version of Armor	1			100					5	armo	mpot	ibk	jew,qty=2				usetype,hiq	42																																																																																						0
Any Weapon + Mana Potion + Book of Identify + 2 Jewels -> Superior Version of Weapon	1			100					5	weap	mpot	ibk	jew,qty=2				usetype,hiq	42																																																																																						0
Any Exceptional or Elite Harpoon Type or Throwing Axe + Rare Jewel = + 15 to stack size	1			100					2	9ta	jew,rar						useitem				stack			15	15																																																																															0
Any Exceptional or Elite Harpoon Type or Throwing Axe + Rare Jewel = + 15 to stack size	1			100					2	9ts	jew,rar						useitem				stack			15	15																																																																															0
Any Exceptional or Elite Harpoon Type or Throwing Axe + Rare Jewel = + 15 to stack size	1			100					2	7ta	jew,rar						useitem				stack			15	15																																																																															0
Any Exceptional or Elite Harpoon Type or Throwing Axe + Rare Jewel = + 15 to stack size	1			100					2	7b8	jew,rar						useitem				stack			15	15																																																																															0
Any Exceptional or Elite Harpoon Type or Throwing Axe + Rare Jewel = + 15 to stack size	1			100					2	7ts	jew,rar						useitem				stack			15	15																																																																															0
3 Magical Rings + Jewel -> Low Quality Rare Jewel (LVL 24)	1			100					4	"rin,mag,qty=3"	jew						jew,rar	16																																																																																						0
1 Rare Amulet + Jewel -> High Quality Rare Jewel (LVL 60)	1			100					2	amu,rar	jew						jew,rar	60																																																																																						0
1 Rare Ring + Jewel -> High Quality Rare Jewel (LVL 42)	1			100					2	rin,rar	jew						jew,rar	42																																																																																						0
Any Rare Item othan than a Jewel -> Low Quality Rare Jewel (LVL 12)	1			100					1	any,rar							jew,rar	8																																																																																						0
Any Unique Item + Mana Potion -> Low Quality Jewel (LVL 24)	1			100					1	any,uni							jew,rar	16																																																																																						0
The order is important (how ever sets can never spawn as ethereal) blizzard did this since if u would have 1 ethereal set item u would need to have all the other parts of that set as ethereal to in order to complete it how ever try it this way xh9,uni,eth,sock=1 will create a ethereal socket vamp gaze	0																																																																																																							0
If you type 'useitem' in the output column and then put some stuff in the mod1, mod2, etc. columns you'll get the same item you put in, only with the added attributes in the mod1, mod2, etc. columns.	0																																																																																																							0
Thank you for trying my mod or my CubeMain softmod.  Yes, it was inspired by others; no need to reinvent the wheel.  This cubemain and mod is how I choose to play Diablo 2 which is a very personal choice.  I try not to overpower with few exceptions, but you have to pay or cheat for it so...Happy Modding	0																																																																																																							0
